﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:09iyGiljLWRYXdRazFkdtJ","I Could Use a Love Song","Maren Morris","HERO (Deluxe Edition)","1","4","196421","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6RUKPb4LETWmmr3iAEQktW","Something Just Like This","The Chainsmokers, Coldplay","Memories...Do Not Open","1","5","247160","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4lgJkFfI7SOO6K2rRwj2Wn","Hey Mamama","Tritonal","Hey Mamama","1","1","214426","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4m5A5meIueOcDBpbqGvkQB","Me Enamoré","Shakira","Me Enamoré","1","1","225812","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7JJmb5XwzOO8jgpou264Ml","There's Nothing Holdin' Me Back","Shawn Mendes","Illuminate (Deluxe)","1","1","199440","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2VFf8YhTnmhWF108o9UEr7","No One - Acoustic","Alicia Keys","Vault Playlist Vol. 1","1","1","259569","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7oUMJhQp5Bqu6HqxSZs02v","Too Little, Too Late - Radio Version","JoJo","Too Little, Too Late","1","1","221573","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:78qfZcwQQUvNwQsMVAfGqJ","Our Night To Shine","Rascal Flatts","Our Night To Shine","1","1","217826","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:3HEivepaMNxInXGhzZ8Pjg","Morning Light","Alexander Wren","The Good in Goodbye - EP","1","1","179906","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5m2ZHgdFrlIskSSvrxPoYI","About","Beatrich","About","1","1","224864","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:13sXuI5RjMHm7dz7O3spYs","Sweet Creature","Harry Styles","Sweet Creature","1","1","224866","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6JxZ9vocwmMDekdXXF10AL","Taylor (Timeflies Tuesday)","Timeflies","Timeflies Tuesday, Vol. 1","1","4","220708","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0F2xFhKGKpavPxOKzIeGkW","For Now","Marissa Lauren","Now & Forever - EP","1","2","190880","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4Ro98RCK90oHqqSZUnTFq5","Strip That Down","Liam Payne, Quavo","Strip That Down","1","1","204502","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:34isqXjbTstbYwl2MfdzDq","Sorry for Now","Linkin Park","One More Light","1","7","203653","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1QsXOnBUiREtGixFfdLTOf","Back To Us","Rascal Flatts","Back To Us","1","2","238600","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5fuxkBTKB1ZlYI3ia2HnLz","Seasons","Chris Cornell","Singles (Deluxe Version) [Original Motion Picture Soundtrack]","1","3","346186","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7f1Dmr246cJ9uQYdbplTbh","He Wasn't Man Enough","Toni Braxton","The Heat","1","1","261933","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7ySbfLwdCwl1EM0zNCJZ38","One Sweet Day","Mariah Carey, Boyz II Men","Daydream","1","3","281066","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:530zCTgm4fbgWWQbKCZyFH","Find You","Jovani, Beatrich","Find You","1","1","247511","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1KTu92zFjElqc3h20XCwE3","Vibe","Frank Pierce, Famba, Emily Bonabon","Vibe","1","1","191489","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0or62irovJr1l01kh192Ls","Kiss You While I Can","Rascal Flatts","Back To Us","1","8","194120","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2QnE0PBovkTW5PpCgvgiu8","Another Love Song","Ne-Yo","Another Love Song","1","1","211022","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1dFLowBW25EaL2OC7eKEa2","You Look Good","Lady Antebellum","Heart Break","1","2","181000","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4T6GFhzAe4tJvwzFWqxkCs","Give Love","Andy Grammer, LunchMoney Lewis","Give Love","1","1","207314","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:762UXiwEHYY97VL45sAUPR","2U","David Guetta, Justin Bieber","2U","1","1","194906","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:3xmmKCqEPNloZT9myIx0Hn","Seasons","Shaggy, OMI","Seasons","1","1","194282","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5U9VoIZoVcaXtXu1JoPN8T","Best Pop Songs Of Mash Up","Mashup, Rajv Dhall","The Mash Up Mix","1","2","204747","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0HEmnAUT8PHznIAAmVXqFJ","Faith - Remastered","George Michael","Faith","1","1","193200","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6FemVsNUb2lzWsDRm14FUJ","Rain","The Script","Rain","1","1","209345","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6usHXaTn54uwwozmH00d3X","Written in the Sand","Old Dominion","Written in the Sand","1","1","184080","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7iDa6hUg2VgEL1o1HjmfBn","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha, Florida Georgia Line","All Your Fault: Pt. 2","1","6","163870","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6mFkJmJqdDVQ1REhVfGgd1","Wish You Were Here","Pink Floyd","Wish You Were Here","1","4","334743","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6GQVzxzL8iryKjPyjni9ia","YES","Sam Feldt, Akon","YES","1","1","150094","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6eUncuJutsFi9BGO1JaBHh","If I'm Lucky","Jason Derulo","If I'm Lucky","1","1","212013","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1TfqLAPs4K3s2rJMoCokcS","Sweet Dreams (Are Made of This) - Remastered","Eurythmics","Sweet Dreams (Are Made Of This)","1","6","216933","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0hrBpAOgrt8RXigk83LLNE","The Sign","Ace of Base","The Sign (US Album) [Remastered]","1","4","191240","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:31MkGwj0SWgZaTvEt5Hgxv","What About Us","P!nk","What About Us","1","1","271519","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0PFfAiEFREC6PugLPN03aa","Use Me","The Goo Goo Dolls","You Should Be Happy","1","2","200386","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0tgVpDi06FyKpA1z0VMD4v","Perfect","Ed Sheeran","÷ (Deluxe)","1","5","263400","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:66LS0AXtNEXMKl4Wx2gFCv","Rain - Nick Talos Remix","The Script, Nick Talos","Rain (Nick Talos Remix)","1","1","183089","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:67Nf4Nsr2Nm5CFfJgqwDb0","Penthouse Floor","John Legend, Chance The Rapper","DARKNESS AND LIGHT","1","2","283786","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1Br3LDPOjVHxCw5Df02nuZ","C'mon - Album Version & Radio Edit","Mario","Mario","1","2","204493","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2di4loru09xsyMBDG9ainC","Make My Love Go","Jay Sean, Sean Paul","Make My Love Go","1","1","211780","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2gwYRdVBQtH6sj0njVtFY9","Be My Lover","Sam Feldt, Alex Schulz","Be My Lover","1","1","180250","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4OEOEsOhlzDqQuewiuPJAc","Whiskey (feat. A$AP Rocky)","Maroon 5, A$AP Rocky","Whiskey (feat. A$AP Rocky)","1","1","210422","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4CoxfAwWDXQ645LkRF6bn3","What About Us - Tiësto's AFTR:HRS Remix","P!nk","What About Us (Tiësto's AFTR:HRS Remix)","1","1","242000","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2DexIlEkLb0hKRVtyoreXn","Santeria","Sublime","Sublime (Deluxe Edition)","1","8","183173","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5qOWH742APK9OAIhQBflvV","Nothing Left For You","Sam Smith","The Thrill Of It All (Special Edition)","1","11","226731","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6v5YfAj1plZ2Rbl9FzOOF5","New Rules - Freedo Remix","Dua Lipa, Freedo","New Rules (Remixes)","1","2","213424","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:00L5zl0hO6lO069lzRWNkW","Praying - Frank Walker Remix","Kesha, Frank Walker","Praying (The Remixes)","1","1","179250","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5AJgjETGRZMlONKiKzYCUy","Perfect - Mike Perry Remix","Ed Sheeran, Mike Perry","Perfect (Mike Perry Remix)","1","1","221332","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4e3zA09nRogfDAAFYjSth0","New Rules","Nomis, Emie","New Rules","1","1","234049","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0nNQREPJzN9tn9rJumDOHt","Beautiful Trauma - Kat Krazy Remix","P!nk, Kat Krazy","Beautiful Trauma (The Remixes)","1","1","193660","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:09ts3GnICqYEU5PkQCpJK3","Say Something","Justin Timberlake, Chris Stapleton","Say Something","1","1","278893","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6K1yBz4AnZT2tCoSoUhJiq","Wait (feat. A Boogie Wit da Hoodie)","Maroon 5, A Boogie Wit da Hoodie","Wait (feat. A Boogie Wit da Hoodie)","1","1","190476","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5yAt8Z40pWLSTryewJGh2q","Mother, We Just Can't Get Enough","New Radicals","A Walk To Remember Music From The Motion Picture","1","12","343466","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5CLGzJsGqhCEECcpnFQA8x","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental, Jess Glynne, Macklemore, Dan Caplen","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","1","1","210772","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1USJRpWDFhxwhCajPXBeel","You Owe Me","The Chainsmokers","Sick Boy...You Owe Me","1","1","190546","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4QfNOZN7vrQCQKK1ZJ3XPb","Heaven","Julia Michaels","Heaven [From "Fifty Shades Freed (Original Motion Picture Soundtrack)"]","1","1","191813","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2ARqIya5NAuvFVHSN3bL0m","The Middle","Zedd, Maren Morris, Grey","The Middle","1","1","184732","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5HwnezK198pJCEj1l2Adjy","She Loves Control","Camila Cabello","Camila","1","3","177160","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:3Vo4wInECJQuz9BIBMOu8i","Finesse (Remix) [feat. Cardi B]","Bruno Mars, Cardi B","Finesse (Remix) [feat. Cardi B]","1","1","217288","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6VpQdig9pdpTSIFItgkJV5","Never Be the Same","Camila Cabello","Never Be the Same","1","1","227087","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7rOIWUhSfjWh4E7443PYE8","I'm Real - Murder Remix","Jennifer Lopez, Ja Rule","J To Tha L-O! The Remixes (Explicit Version)","1","4","258666","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5X8kkUaUlAyAUr9TYqDFTH","All For You","Janet Jackson","All For You","1","3","329933","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6Knv6wdA0luoMUuuoYi2i1","My House","Flo Rida","MY HOUSE","1","2","192190","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6lUY6MoqGgPnA27PHYxem5","Bulletproof","La Roux","La Roux","1","4","205733","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2EVv4Vxu3HGPr32CQecgHx","Genie in a Bottle","Christina Aguilera","Christina Aguilera","1","1","217573","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5YScXJKtefsgdskIy60N7A","Tubthumping","Chumbawamba","Tubthumper","1","1","278960","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:3Rc2ajBMInxeNGVkMPC92Y","Dancing On My Own","Robyn","Body Talk Pt. 1","1","3","285973","spotify:user:122199385","2018-04-13T15:53:13Z"
